% Model,quartz2.mph
% Version,COMSOL 6.1.0.252
% Date,"Oct 27 2023, 14:52"
% Dimension,1
% Nodes,41
% Expressions,1
% Description,Global
% Wavelength in free space (nm),Reflectance, port 1
480,7.122781773559153E-4
481,7.513648180284451E-4
481.99999999999994,8.543437896557776E-4
483,9.739316380262707E-4
484,0.0010445564206274453
484.99999999999994,0.00100358394758743
485.99999999999994,8.177406711280322E-4
487,5.093470337194874E-4
487.99999999999994,1.764779894933712E-4
488.99999999999994,1.5782367067994938E-6
490,2.443221306316021E-4
491,0.001216685318422125
491.99999999999994,0.003241364675157472
492.99999999999994,0.006598623035093304
494,0.011470512200385903
494.99999999999994,0.017893821824456365
495.99999999999994,0.025732580434059567
497,0.034676979712534355
498,0.04426923948365329
498.99999999999994,0.05395048894378028
500,0.06311861766512071
501,0.07118646788749174
501.99999999999994,0.07763223780448987
502.99999999999994,0.08203793248525625
504,0.08411537945506903
505,0.08372159111605029
505.99999999999994,0.0808658152327276
507,0.07570980641783355
508,0.06856132623124218
508.99999999999994,0.059859373418292124
509.99999999999994,0.05014886602473788
511,0.04004302019637054
511.99999999999994,0.03017376159015058
512.9999999999999,0.021133871704817564
514,0.013418215774734883
515,0.007373812679589445
516,0.0031683014364745775
516.9999999999999,7.830751547166555E-4
518,3.191012812161247E-5
519,6.002666478966946E-4
519.9999999999999,0.002096570736515229
