% Model,quartz2.mph
% Version,COMSOL 6.1.0.252
% Date,"Oct 27 2023, 14:48"
% Dimension,1
% Nodes,41
% Expressions,1
% Description,Global
% Wavelength in free space (nm),Reflectance, port 1
480,0.014272656030072143
481,0.029636778834128026
481.99999999999994,0.055839141392158696
483,0.0955347184470156
484,0.14930883904806325
484.99999999999994,0.21489712931950314
485.99999999999994,0.28757517085676276
487,0.3616017371617849
487.99999999999994,0.43185351014743206
488.99999999999994,0.49481782166687066
490,0.5487367209158615
491,0.5932088340544337
491.99999999999994,0.628651530500857
492.99999999999994,0.6558674671134453
494,0.675759262380416
494.99999999999994,0.689118922080041
495.99999999999994,0.6964380278753294
497,0.6977919250403491
498,0.6928705019834347
498.99999999999994,0.681070707018614
500,0.6614957757624323
501,0.6328730733519239
501.99999999999994,0.5935105140501012
502.99999999999994,0.5413966445080942
504,0.47460028063059156
505,0.3922358252923249
505.99999999999994,0.29627735006943035
507,0.19402296248696413
508,0.0995307958629289
508.99999999999994,0.030746937585073963
509.99999999999994,0.0011383816342920778
511,0.011682489063605299
511.99999999999994,0.0512142390046975
512.9999999999999,0.10408534512771855
514,0.157234092960105
515,0.2026000999783387
516,0.2362995488173783
516.9999999999999,0.25697939437502487
518,0.2645361901914393
519,0.25941351798025286
519.9999999999999,0.242360689955273
